"muck_org","V1","d0","d1","d2","d3","d4","source","Source","avg_align","followers_count","friends_count","lang","media_handle","media_name","muck_role","muckrack_slug","protected","status_coordinates","status_lang","statuses_count","utc_offset","verified","mean_ideology_following","n_pol_follows","total_articles","dem","rep","lo"
"",10061,-0.00264593721524,-0.00210151765749,-0.00132999154221,0.000699902796462,0.0010396284096,53282792,"",NA,22,93,"en","","","","",FALSE,"","en",62,"-25200",FALSE,-0.441064404081,4,NA,NA,NA,NA
"",10062,-0.0106673829609,-0.00164397331651,-0.000708864869695,-0.0123314458446,0.00498709940432,532876186,"",NA,15,82,"en","","","","",FALSE,"","en",90,"None",FALSE,1.38052198959,3,NA,NA,NA,NA
"",10063,-0.00373137733004,-0.0160370538205,-0.00173804551416,0.00580243654978,0.00504471642866,53293290,"",NA,755,992,"en","","","","",FALSE,"","en",2649,"-21600",FALSE,0.386717381713,3,NA,NA,NA,NA
"",10064,-0.00614936426422,-0.0028735752669,-0.00149929995011,-0.0130357019198,0.00502109604767,533355691,"",NA,18,86,"en","","","","",FALSE,"","en",103,"-14400",FALSE,0.912415866254,4,NA,NA,NA,NA
"",10065,-0.0101162478025,-0.00027790513997,8.95786852935e-05,-0.00573095490976,0.00318418260864,533418003,"",NA,12,38,"en","","","","",FALSE,"","en",202,"None",FALSE,0.504283138261,3,NA,NA,NA,NA
"",10066,0.0201004251362,-0.0125793113472,-0.00277491811366,-0.0181734533877,0.00725825148352,533883477,"",NA,1180,1143,"en","","","","",FALSE,"","en",1521,"-14400",FALSE,0.725502443432,5,NA,NA,NA,NA
"",10067,-0.00512881772548,0.00828712222635,-0.00984119582672,-0.0188020401354,0.013981149124,53391240,"",NA,106,763,"en","","","","",FALSE,"","en",627,"-14400",FALSE,0.804782473257,17,NA,NA,NA,NA
"",10068,-0.00536563326506,-0.00841705334374,-0.00221726961698,0.00492462677855,0.00572689825371,534343545,"",NA,96,323,"en","","","","",FALSE,"","en",109,"None",FALSE,-0.834915691695,5,NA,NA,NA,NA
"",10069,-0.00285597282878,0.00340259999345,0.00680846215669,-0.0177051765755,0.010421537175,534481316,"",NA,86,634,"en","","","","",FALSE,"","en",167,"None",FALSE,0.856446363296,7,NA,NA,NA,NA
"",10070,-0.0115401194462,-0.00283367389753,-0.00178650759017,-0.0170399310992,0.00675846267489,534483901,"",NA,29,106,"en","","","","",FALSE,"","und",173,"None",FALSE,1.15013588937,6,NA,NA,NA,NA
"",10071,-0.006574940823,-0.0100198559078,-0.00247715195849,0.0043710789235,0.00461563884244,534546402,"",NA,444,645,"en","","","","",FALSE,"","en",1618,"-21600",FALSE,-1.02758480401,4,NA,NA,NA,NA
"",10072,-0.00170891837664,0.0139281936024,-0.0175468573516,0.0103567571952,0.0162924511334,534607481,"",NA,522,2342,"en","","","","",FALSE,"","en",1653,"-10800",FALSE,-1.08864342925,46,NA,NA,NA,NA
"",10073,-0.00319521347057,-0.00163758357712,-0.00227994749358,-0.0205581492544,0.00807240370165,534664536,"",NA,15,247,"en","","","","",FALSE,"","en",9,"None",FALSE,1.16685886698,11,NA,NA,NA,NA
"",10074,0.00741322778367,-0.00682974377533,-0.00351236269793,0.011024491916,0.0113308580415,534674397,"",NA,795,2343,"en","","","","",FALSE,"","und",1633,"-14400",FALSE,-1.45240293183,15,NA,NA,NA,NA
"",10075,0.012865180013,-0.00994403505974,-0.00570301098211,-0.0204725687222,0.00862873347028,534946471,"",NA,820,674,"en","","","","",FALSE,"","und",25299,"-14400",FALSE,1.1340477079,13,NA,NA,NA,NA
"",10076,-0.00580521776031,-0.0077281451231,0.000565950945104,0.00256186800049,0.00384143457041,535011797,"",NA,9,138,"en","","","","",FALSE,"","en",226,"-14400",FALSE,-1.11917658844,5,NA,NA,NA,NA
"",10077,-0.00555583799694,-0.0120617155864,0.00198238095061,0.00486415204625,0.0054824094567,53525323,"",NA,652,860,"en","","","","",FALSE,"{u'type': u'Point', u'coordinates': [-72.93026546, 41.35301397]}","en",2882,"-14400",FALSE,-1.58321052543,5,NA,NA,NA,NA
"",10078,-0.00777034281999,-0.00752599946642,0.00088965711159,0.00204760996049,0.00429486810284,535319695,"",NA,145,171,"en","","","","",FALSE,"","en",128,"None",FALSE,-0.966651017878,3,NA,NA,NA,NA
"",10079,-0.0213829148592,-0.00238628411293,0.00365193097394,0.000318508379238,0.00976646372246,53553425,"",NA,276,1342,"en","","","","",FALSE,"{u'type': u'Point', u'coordinates': [-80.19, 25.774]}","en",124,"-14400",FALSE,-0.0427444873604,3,NA,NA,NA,NA
"",10080,0.00790069262992,-0.00928554303379,0.00488690379927,0.01125094811,0.0125101408169,53581414,"",NA,299,764,"en","","","","",FALSE,"","en",344,"-18000",FALSE,-0.505271983671,9,NA,NA,NA,NA
"",10081,-0.000680138709125,-0.00104969844181,0.00978381688491,0.0028586011076,0.00772220256119,53607118,"",NA,170,465,"en","","","","",FALSE,"","und",744,"-14400",FALSE,-1.02381006649,5,NA,NA,NA,NA
"",10082,-0.0118712035241,0.00401040904816,0.0030243109421,-0.0110186036907,0.0119024439033,536390480,"",NA,355,1763,"en","","","","",FALSE,"","en",1012,"-18000",FALSE,0.823016779383,7,NA,NA,NA,NA
"",10083,-0.0130240576984,0.00499762576299,-0.00018850560611,-0.0152969341588,0.0106275546152,536445130,"",NA,699,1043,"en","","","","",FALSE,"","en",3382,"-18000",FALSE,1.25764731738,6,NA,NA,NA,NA
"",10084,-0.00723359977482,-0.00703610302852,0.0043265598466,0.00188699316866,0.0066765890672,536773738,"",NA,781,767,"en","","","","",FALSE,"","und",2144,"-14400",FALSE,-0.851932062829,6,NA,NA,NA,NA
"",10085,-0.00620631878795,0.000809569055411,0.00538290945062,0.00229646956639,0.00671746741333,53710950,"",NA,49,276,"en","","","","",FALSE,"","en",457,"-25200",FALSE,-1.91859022461,3,NA,NA,NA,NA
"",10086,0.00485014347252,0.0318904366645,0.0249312232683,0.00397440863255,0.0133920227155,53726275,"",NA,239,1797,"en","","","","",FALSE,"","en",2016,"-21600",FALSE,-1.62262740192,5,NA,NA,NA,NA
"",10087,0.00909775181921,-0.00517836311024,0.00769083495236,0.0088208910674,0.0105702895718,53730278,"",NA,84,620,"en","","","","",FALSE,"","en",2614,"-18000",FALSE,-1.41212757125,6,NA,NA,NA,NA
"",10088,-0.00537988915946,-0.0035907833369,0.000303573260091,0.00318113596229,0.00417810693364,537328079,"",NA,606,586,"en","","","","",FALSE,"","en",7807,"-10800",FALSE,-1.40033617684,3,NA,NA,NA,NA
"",10089,-0.0038416435377,-0.00593221234803,0.000528352618861,0.00324293239143,0.00780350554473,537372198,"",NA,588,1552,"en","","","","",FALSE,"","en",218,"None",FALSE,-1.46559990947,3,NA,NA,NA,NA
"",10090,0.0034944991408,-0.0021043599946,-0.0117421177511,0.0108870541256,0.0117549275774,537423501,"",NA,252,1104,"en","","","","",FALSE,"","en",433,"-25200",FALSE,-1.31392594142,7,NA,NA,NA,NA
