ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
412290, 0.690933393721, 0.657927108338, Lance, Republican, rank-and-file Republican, 7, 80, 58, 60
400245, 0.207811994716, 0.759064113628, Lofgren, Democrat, progressive Democratic leader, 11, 149, 189, 528
400249, 0.313897166525, 0.504599140526, Lynch, Democrat, rank-and-file Democrat, 8, 97, 71, 93
400263, 0.0995665034765, 0.562255747542, McGovern, Democrat, progressive Democrat, 3, 239, 32, 37
400295, 0.0186549146407, 0.501455686593, Norton, Democrat, progressive Democrat, 12, 306, 124, 143
400349, 0.440064920821, 0.0906270917652, Ruppersberger, Democrat, centrist Democratic follower, 1, 71, 0, 0
412565, 0.319348446166, 0.596801375429, Beatty, Democrat, rank-and-file Democrat, 9, 130, 56, 99
412404, 0.240360494757, 0.709570672524, Bass, Democrat, moderate Democratic leader, 8, 73, 62, 67
412221, 0.120774531556, 0.282174274528, Clarke, Democrat, progressive Democrat, 9, 137, 62, 106
400162, 0.00525086659744, 0.653650478566, Grijalva, Democrat, progressive Democratic leader, 7, 264, 176, 249
412562, 0.343969732424, 0.510298792365, Maloney [NY18], Democrat, rank-and-file Democrat, 6, 90, 71, 76
412189, 0.28014953886, 0.315366474005, McNerney, Democrat, rank-and-file Democrat, 2, 90, 1, 1
412432, 0.331909173418, 0.363147598386, Richmond, Democrat, rank-and-file Democrat, 2, 84, 0, 0
400350, 0.213810590411, 0.250450595221, Rush, Democrat, progressive Democrat, 6, 144, 24, 27
400366, 0.173929441877, 0.316137285904, Serrano, Democrat, progressive Democrat, 14, 144, 0, 0
412522, 0.28509168873, 0.411067455751, Vargas, Democrat, rank-and-file Democrat, 4, 95, 11, 11
412412, 0.17543348977, 0.549734948586, Wilson [FL24], Democrat, progressive Democrat, 1, 89, 20, 20
400651, 0.919763128792, 0.463211197115, Gohmert, Republican, conservative Republican, 7, 112, 45, 59
400018, 0.743898101761, 0.69032504439, Barton, Republican, rank-and-file Republican, 1, 29, 4, 4
412397, 0.966473131783, 0.844387485487, Gosar, Republican, conservative Republican leader, 9, 134, 88, 142
412434, 0.881676470654, 0.510248849527, Harris, Republican, conservative Republican, 2, 67, 29, 29
412574, 0.900374592981, 0.50566920001, Weber, Republican, conservative Republican, 3, 92, 20, 20
412468, 0.736967635089, 0.71929956495, Marino, Republican, rank-and-file Republican, 9, 62, 51, 55
412500, 0.81673244617, 0.550705887686, Amodei, Republican, rank-and-file Republican, 9, 66, 85, 93
412531, 0.81048046721, 0.815950234217, Collins [GA9], Republican, moderate Republican leader, 16, 56, 189, 236
400141, 0.951578840062, 0.878831243888, Franks, Republican, conservative Republican leader, 5, 131, 125, 282
400316, 0.635386318978, 0.34465874139, Peterson, Democrat, centrist Democrat, 2, 77, 28, 33
412596, 0.829712267206, 0.379305027899, Smith [MO8], Republican, rank-and-file Republican, 6, 70, 52, 54
400381, 0.883886478837, 0.744781583617, Smith [TX21], Republican, conservative Republican, 5, 98, 175, 199
400063, 0.2844406935, 0.418894349661, Capuano, Democrat, rank-and-file Democrat, 17, 97, 44, 50
400308, 0.285954730576, 0.489373232241, Pallone, Democrat, rank-and-file Democrat, 8, 95, 35, 44
412399, 0.850785738412, 0.507906695545, Schweikert, Republican, rank-and-file Republican, 2, 66, 10, 10
400029, 0.831979434546, 0.547746754001, Bishop [UT1], Republican, rank-and-file Republican, 6, 46, 45, 52
412555, 0.964800316378, 0.512067141963, Cramer, Republican, conservative Republican, 12, 121, 41, 46
400089, 0.851480565386, 0.314651194211, Culberson, Republican, rank-and-file Republican, 2, 58, 5, 5
400199, 0.153866695378, 0.603480334349, Jackson Lee, Democrat, progressive Democrat, 34, 171, 9, 9
400654, 0.795294058436, 0.890419988813, McCaul, Republican, moderate Republican leader, 11, 84, 230, 320
412302, 0.990370492107, 0.870295997587, Olson, Republican, conservative Republican leader, 5, 100, 84, 102
400652, 0.827094436724, 0.890461997722, Poe, Republican, moderate Republican leader, 17, 109, 73, 92
400313, 0.909582949344, 0.390540031067, Pearce, Republican, conservative Republican, 2, 90, 12, 12
412514, 0.268002950797, 0.508784723191, Swalwell, Democrat, rank-and-file Democrat, 3, 189, 200, 212
400103, 0.210178808162, 0.793649128802, DeLauro, Democrat, progressive Democratic leader, 10, 119, 198, 633
412517, 0.280858916958, 0.63183139553, Cárdenas, Democrat, moderate Democratic leader, 12, 142, 109, 154
400111, 0.318216077094, 0.60104259126, Doggett, Democrat, rank-and-file Democrat, 6, 52, 132, 343
412215, 0.0747246524411, 0.515290777582, Ellison, Democrat, progressive Democrat, 27, 186, 75, 152
400237, 0.0, 0.709408699777, Lee, Democrat, progressive Democratic leader, 25, 209, 158, 422
400661, 0.128995491026, 0.450215918079, Moore, Democrat, progressive Democrat, 3, 195, 27, 27
412585, 0.162515132791, 0.539636223902, Pocan, Democrat, progressive Democrat, 5, 226, 86, 129
400360, 0.111598005062, 0.625149273602, Schakowsky, Democrat, progressive Democratic leader, 7, 199, 55, 80
400364, 0.236434967987, 0.607631796488, Scott [VA3], Democrat, progressive Democratic leader, 3, 107, 93, 115
412520, 0.143830209283, 0.422320614808, Takano, Democrat, progressive Democrat, 9, 152, 71, 101
400344, 0.547345570168, 0.939549554584, Ros-Lehtinen, Republican, centrist Republican leader, 9, 66, 87, 124
400068, 0.797759504085, 0.695675841888, Carter [TX31], Republican, rank-and-file Republican, 3, 40, 65, 70
400071, 0.8645656536, 0.720924975359, Chabot, Republican, conservative Republican, 8, 96, 74, 98
412271, 0.749744463204, 0.548711576788, Coffman, Republican, rank-and-file Republican, 5, 84, 54, 57
412403, 0.663680157706, 0.641945686529, Denham, Republican, rank-and-file Republican, 5, 44, 189, 195
400108, 0.639531902031, 0.490525716511, Diaz-Balart, Republican, rank-and-file Republican, 3, 41, 46, 47
412480, 0.90679528138, 0.575489091186, Flores, Republican, conservative Republican, 4, 77, 11, 11
412444, 0.899309896981, 0.467685061222, Hartzler, Republican, conservative Republican, 1, 73, 0, 0
400170, 0.146598974693, 0.703783402516, Hastings, Democrat, progressive Democratic leader, 22, 197, 185, 284
400209, 0.810397666721, 0.527720667993, Jones, Republican, rank-and-file Republican, 11, 192, 20, 22
412435, 0.286360446626, 0.344427831598, Keating, Democrat, rank-and-file Democrat, 3, 137, 11, 11
412465, 0.871189091274, 0.829200059196, Kelly [PA3], Republican, conservative Republican leader, 10, 98, 174, 228
400656, 0.912938911731, 0.544150401863, Marchant, Republican, conservative Republican, 3, 49, 20, 22
412540, 0.884851167398, 0.715139666035, Messer, Republican, conservative Republican, 18, 78, 228, 291
400348, 0.65166416775, 0.974019633417, Royce, Republican, moderate Republican leader, 11, 77, 289, 489
400373, 0.725094561813, 0.54847457785, Shimkus, Republican, rank-and-file Republican, 1, 45, 31, 31
412186, 0.33582790843, 0.441910327561, Sires, Democrat, rank-and-file Democrat, 8, 93, 40, 44
412461, 0.821889190059, 0.601166299135, Stivers, Republican, rank-and-file Republican, 7, 79, 34, 42
412579, 0.31525770869, 0.319999734138, Veasey, Democrat, rank-and-file Democrat, 4, 102, 7, 7
412192, 0.361820606691, 0.312651351777, Perlmutter, Democrat, rank-and-file Democrat, 3, 103, 29, 29
412257, 0.332497963069, 0.498591667079, Foster, Democrat, rank-and-file Democrat, 10, 89, 52, 60
412521, 0.199315914722, 0.514737256449, Lowenthal, Democrat, progressive Democrat, 5, 138, 81, 108
412293, 0.36426343276, 0.45127689211, Luján, Democrat, rank-and-file Democrat, 11, 57, 78, 146
400271, 0.190079535228, 0.479961987629, Meeks, Democrat, progressive Democrat, 7, 147, 24, 25
400289, 0.174562194351, 0.714911493977, Nadler, Democrat, progressive Democratic leader, 10, 133, 168, 247
408211, 0.367431051875, 0.333889576486, Nolan, Democrat, rank-and-file Democrat, 6, 114, 66, 76
400660, 0.628402652602, 0.848184462361, Reichert, Republican, centrist Republican leader, 7, 38, 170, 198
412478, 0.884771224221, 0.982024999743, Black, Republican, conservative Republican leader, 11, 51, 195, 520
400033, 0.242236767318, 0.617235676742, Blumenauer, Democrat, moderate Democratic leader, 14, 220, 80, 130
412501, 0.259675017758, 0.390035936556, Bonamici, Democrat, rank-and-file Democrat, 4, 138, 14, 14
400639, 0.33929259538, 0.346175800979, Cleaver, Democrat, rank-and-file Democrat, 0, 55, 0, 0
412193, 0.388096519867, 0.762968091428, Courtney, Democrat, moderate Democratic leader, 4, 92, 59, 64
400093, 0.255905939567, 0.331316964236, Davis [IL7], Democrat, rank-and-file Democrat, 5, 85, 13, 13
400154, 0.800758392561, 0.953764183349, Goodlatte, Republican, moderate Republican leader, 14, 64, 146, 328
412284, 0.871723363081, 0.871894317299, Jenkins [KS2], Republican, conservative Republican leader, 10, 102, 190, 244
400218, 0.489487297807, 0.516276631332, Kind, Democrat, centrist Democrat, 4, 128, 14, 14
412557, 0.349984472188, 0.377580559541, Kuster, Democrat, rank-and-file Democrat, 4, 118, 19, 19
400240, 0.194960126594, 0.642634008929, Lewis [GA5], Democrat, progressive Democratic leader, 17, 112, 34, 34
400659, 0.695505576939, 0.79269179341, McMorris Rodgers, Republican, moderate Republican leader, 8, 43, 103, 127
400291, 0.446536169187, 0.578159324092, Neal, Democrat, centrist Democrat, 4, 51, 139, 203
400309, 0.351665859848, 0.737034933123, Pascrell, Democrat, moderate Democratic leader, 5, 107, 104, 116
412303, 0.709130197358, 1.0, Paulsen, Republican, moderate Republican leader, 12, 48, 351, 656
412393, 0.693425967609, 0.890628245876, Reed, Republican, moderate Republican leader, 8, 39, 126, 152
412202, 0.743207490687, 0.928717173309, Roskam, Republican, moderate Republican leader, 6, 55, 155, 173
400365, 0.76736429046, 0.832627680426, Sensenbrenner, Republican, moderate Republican leader, 14, 81, 89, 108
412317, 0.778888363445, 0.61846495129, Thompson [PA5], Republican, rank-and-file Republican, 2, 89, 6, 6
400403, 0.385105400791, 0.730820376949, Thompson [CA5], Democrat, moderate Democratic leader, 5, 102, 117, 154
400406, 0.768288926641, 0.860861899748, Tiberi, Republican, moderate Republican leader, 12, 56, 164, 268
412430, 0.777530525965, 0.763420919516, Yoder, Republican, moderate Republican leader, 1, 64, 138, 138
412312, 0.354784857083, 0.230386474046, Sablan, Democrat, moderate Democratic follower, 2, 36, 1, 1
400041, 0.32069761248, 0.295965104193, Bordallo, Democrat, rank-and-file Democrat, 2, 70, 0, 0
412511, 0.210845800377, 0.509321904077, Huffman, Democrat, progressive Democrat, 9, 140, 120, 216
400211, 0.273057961723, 0.429770871664, Kaptur, Democrat, rank-and-file Democrat, 4, 138, 71, 103
412558, 0.299839038544, 0.363057619502, Lujan Grisham, Democrat, rank-and-file Democrat, 9, 130, 101, 112
400259, 0.198262685543, 0.424445893056, McCollum, Democrat, progressive Democrat, 2, 170, 15, 15
412219, 0.29143944995, 0.241579086277, Shea-Porter, Democrat, moderate Democratic follower, 3, 210, 7, 7
400378, 0.163970349243, 0.603652386872, Slaughter, Democrat, progressive Democrat, 5, 163, 90, 135
400047, 0.364145765669, 0.298472815153, Brady [PA1], Democrat, rank-and-file Democrat, 1, 85, 48, 48
412379, 0.149900427235, 0.55438887444, Chu, Democrat, progressive Democrat, 2, 161, 120, 120
400080, 0.102117309272, 0.661516134524, Conyers, Democrat, progressive Democratic leader, 19, 184, 136, 329
400122, 0.297636150672, 0.821842195958, Engel, Democrat, moderate Democratic leader, 15, 127, 222, 449
400163, 0.177515490153, 0.109256789258, Gutiérrez, Democrat, lonely progressive Democratic , 3, 113, 2, 2
400204, 0.28107429118, 0.564492797689, Johnson [TX30], Democrat, rank-and-file Democrat, 5, 82, 53, 62
412199, 0.220040745502, 0.645715122055, Johnson [GA4], Democrat, progressive Democratic leader, 8, 108, 137, 265
400347, 0.237846679446, 0.60502750373, Roybal-Allard, Democrat, moderate Democratic leader, 5, 102, 141, 187
412563, 0.805798353498, 0.633897205565, Collins [NY27], Republican, rank-and-file Republican, 9, 72, 165, 199
412427, 0.813096977366, 0.530757737221, Bucshon, Republican, rank-and-file Republican, 4, 53, 8, 8
412258, 0.258854851781, 0.509022997312, Carson, Democrat, rank-and-file Democrat, 4, 87, 96, 108
412505, 0.347911502569, 0.582966212975, DelBene, Democrat, rank-and-file Democrat, 6, 146, 110, 147
412524, 0.32741366938, 0.539773777296, Esty, Democrat, rank-and-file Democrat, 6, 77, 59, 67
412422, 0.797028739035, 0.524591430903, Hultgren, Republican, rank-and-file Republican, 7, 64, 27, 28
412543, 0.327006631302, 0.66315653717, Kennedy, Democrat, moderate Democratic leader, 5, 90, 48, 60
412583, 0.392570783151, 0.534270918574, Kilmer, Democrat, rank-and-file Democrat, 14, 175, 60, 76
400630, 0.514426460882, 0.567543412689, Lipinski, Democrat, centrist Democrat, 6, 112, 97, 122
412523, 0.355288076439, 0.489012010009, Peters, Democrat, rank-and-file Democrat, 5, 152, 18, 19
400379, 0.270951749809, 0.401014460823, Smith [WA9], Democrat, rank-and-file Democrat, 2, 108, 15, 15
400607, 0.699395099151, 0.48397981435, Sanford, Republican, rank-and-file Republican, 6, 51, 27, 33
412550, 0.871165070407, 0.807303364246, Hudson, Republican, conservative Republican leader, 9, 91, 206, 222
412512, 0.422677174271, 0.272759434328, Bera, Democrat, centrist Democrat, 1, 62, 7, 7
412470, 0.194861752127, 0.738921259883, Cicilline, Democrat, progressive Democratic leader, 10, 191, 160, 294
400097, 0.281794964131, 0.725618068915, Davis [CA53], Democrat, moderate Democratic leader, 10, 85, 230, 275
400101, 0.33518357249, 0.534524610503, DeGette, Democrat, rank-and-file Democrat, 2, 72, 44, 44
412544, 0.374736789452, 0.533137297836, Delaney, Democrat, rank-and-file Democrat, 7, 100, 67, 95
412308, 0.3006262473, 0.623670705173, Polis, Democrat, moderate Democratic leader, 10, 140, 62, 80
412259, 0.247197613504, 0.695905525159, Speier, Democrat, moderate Democratic leader, 6, 136, 167, 296
412318, 0.295463490883, 0.539388333765, Titus, Democrat, rank-and-file Democrat, 5, 106, 21, 26
412254, 0.259907913299, 0.269901130084, Tsongas, Democrat, rank-and-file Democrat, 2, 120, 4, 4
412278, 0.822865796009, 0.925400908283, Guthrie, Republican, moderate Republican leader, 11, 79, 197, 266
400219, 0.592924649153, 0.722765610247, King [NY2], Republican, centrist Republican, 8, 98, 90, 107
400244, 0.589044501795, 0.419730810369, LoBiondo, Republican, centrist Republican, 3, 68, 4, 4
400367, 0.972367129587, 0.650014787811, Sessions, Republican, conservative Republican, 15, 124, 57, 58
400618, 0.482698960115, 0.197227772447, Costa, Democrat, centrist Democratic follower, 0, 72, 0, 0
412196, 0.686197624356, 0.701345260184, Buchanan, Republican, rank-and-file Republican, 11, 29, 155, 177
412400, 0.828922500942, 0.528930968996, Crawford, Republican, rank-and-file Republican, 4, 43, 61, 77
412536, 0.773896814479, 0.805540884819, Davis [IL13], Republican, moderate Republican leader, 13, 71, 166, 219
400100, 0.341887830613, 0.603115222368, DeFazio, Democrat, rank-and-file Democrat, 20, 147, 70, 115
412482, 0.94242740609, 0.449498173779, Farenthold, Republican, conservative Republican, 7, 155, 20, 24
400361, 0.264886622728, 0.544766742849, Schiff, Democrat, rank-and-file Democrat, 3, 104, 68, 72
400414, 0.606794454049, 0.659840453218, Upton, Republican, centrist Republican, 4, 27, 8, 8
412515, 0.738701105479, 0.694627442254, Valadao, Republican, rank-and-file Republican, 4, 87, 275, 310
412255, 0.815194872987, 0.423731135619, Wittman, Republican, rank-and-file Republican, 10, 103, 34, 42
400440, 0.728262741296, 0.595156252581, Young [AK0], Republican, rank-and-file Republican, 57, 93, 76, 98
400404, 0.697235953323, 0.569365931961, Thornberry, Republican, rank-and-file Republican, 5, 19, 68, 76
400046, 0.758119552085, 0.873472436233, Brady [TX8], Republican, moderate Republican leader, 2, 23, 36, 36
400052, 0.820927762524, 0.764079777345, Burgess, Republican, moderate Republican leader, 20, 44, 24, 26
400077, 0.816933156096, 0.487690323275, Cole, Republican, rank-and-file Republican, 11, 101, 64, 73
400655, 0.830602086069, 0.813407352733, Conaway, Republican, moderate Republican leader, 5, 37, 176, 184
412280, 0.815870413789, 0.707702549226, Harper, Republican, rank-and-file Republican, 10, 61, 15, 17
